danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.484,0.465,-9.209,0.167,0.0249,0.0,0.229,0.0642,132.895,0QOXUbu5PXFPEsle2RphS2,144431
0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,32OlwWuMpZ6b0aN2RZOeMS,269667
0.774,0.764,-5.445,0.0518,0.156,0.0,0.0383,0.912,118.997,2aFiaMXmWsM3Vj72F9ksBl,219147
0.443,0.371,-5.521,0.031,0.148,0.0,0.308,0.31,121.908,2XH5LvAwDukK7UMpglSfyo,169379
0.862,0.742,-4.722,0.222,0.00376,0.00855,0.103,0.511,127.91,7huo2wvrCgRucUsjdSDLQV,228907
0.947,0.582,-10.691,0.195,0.071,0.0,0.1,0.645,128.0,3WV9Vr9kEFLQ3NFkvjxFhd,135000
0.836,0.699,-3.235,0.179,0.114,0.0,0.13,0.818,94.092,70ATI6K6i1TXfRfID7bcN0,273813
0.7,0.695,-4.973,0.0897,0.00629,0.0,0.0319,0.633,122.028,12lZTPlXwUtrQuhEty6098,203333
0.722,0.382,-10.101,0.0507,0.292,0.0,0.071,0.367,120.109,2rzWNt0nwEpPbw7YJTxvIG,180000
0.85,0.482,-6.684,0.102,0.0246,0.0,0.387,0.217,100.957,6SPD3JwwRejBhCDiQAQ4he,229867
0.718,0.69,-10.57,0.0557,0.0253,0.0,0.17,0.39,109.983,4PZHxcXObJLABSH4XAMqHv,109091
0.487,0.9,-4.417,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4omisSlTk6Dsq2iQD7MA07,204000
0.68,0.902,-6.523,0.221,0.28,0.0,0.177,0.776,152.073,4uNvqPMrfhwmYbCeEUv3qP,157982
0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253
0.761,0.729,-3.081,0.0415,0.126,0.0,0.0955,0.387,114.924,5BTpeKg0dwxGmyELhIpkj8,208320
0.705,0.46,-10.88,0.196,0.0922,1.34e-05,0.111,0.259,141.965,4IC1ZgIfOtc4nRmknQpqoM,101198
0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,0O6u0VJ46W86TxN9wgyqDj,192841
0.514,0.839,-5.243,0.278,0.0614,0.0,0.412,0.592,102.076,3r1yWwNnOG03lYh5xauYPu,152941
0.671,0.71,-6.997,0.109,0.335,4.76e-06,0.074,0.233,102.022,5dKyZWlgjWw1oJgLa4GCZD,199179
0.66,0.839,-2.058,0.0546,0.0594,0.0,0.106,0.945,126.001,3A0NjZwttWVJ2iBBL2jgy2,198947
0.566,0.591,-8.699,0.105,0.0969,0.0,0.136,0.43,155.583,5TPEutiM5AcW8F2qLhtwdY,162308
0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,6i0V12jOa3mr6uu4WYhUBr,195920
0.64,0.859,-6.986,0.0467,0.00557,0.000174,0.186,0.105,124.013,7vZljGVTICUWEsgCjwZBWW,218710
0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,6F5c58TMEs1byxUstkzVeM,223546
0.868,0.7,-6.408,0.1,0.0933,0.00685,0.0815,0.458,121.988,7b9WVKS9dt9OyRFAbGTP8P,194754
0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,3MjUtNVVq3C8Fn0MP3zhXa,211067
0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,193.437,5mMjkxGijQB4JZallYrkOW,193213
0.634,0.677,-5.145,0.213,0.358,0.0,0.152,0.441,75.125,7l4PiDgnm97sTUIldRl8ET,224267
0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400
0.758,0.57,-8.924,0.222,0.154,0.0,0.096,0.492,87.536,3TddG7RVm8patFMbXRCxxM,153176
0.608,0.798,-5.092,0.0432,0.0736,0.0,0.156,0.501,92.943,6DNtNfH8hXkqOX1sjqmI7p,185352
0.75,0.727,-4.21,0.142,0.0189,0.0,0.266,0.359,129.993,0IkKz2J93C94Ei4BvDop7P,262173
0.852,0.697,-8.062,0.119,0.279,0.0,0.14,0.953,117.983,4JIa6sZkEYPMD5CeVuDkzX,122669
0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,50kpGaPAhYJ3sGmk6vplg0,233720
0.362,0.768,-5.366,0.196,0.32,0.0,0.17,0.567,179.711,5yII7ZOrO6s2qFTvu96QnH,243984
0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,6RUKPb4LETWmmr3iAEQktW,247160
0.557,0.522,-13.492,0.357,0.0632,0.0,0.355,0.365,166.032,5M5FbqhEDQuhFeKumZVTjj,179618
0.494,0.348,-9.791,0.03,0.652,1.07e-05,0.0859,0.134,104.923,2Y67qsABsPKMrvCxPCzL6r,184963
0.696,0.809,-8.254,0.05,0.252,0.000128,0.248,0.857,132.962,6AQbmUe0Qwf5PZnt4HmTXv,131013
0.841,0.65,-5.627,0.131,0.021,4.15e-06,0.0694,0.748,129.979,2r7BOWS3bEYjEUbLiH8kVM,141972
0.62,0.409,-10.146,0.0282,0.77,0.0542,0.105,0.582,113.946,3iBgrkexCzVuPy4O9vx7Mf,135067
0.636,0.888,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,4FWbsd91QSvgr1dSWwW51e,237200
0.898,0.732,-3.982,0.0427,0.621,1.29e-05,0.0908,0.96,115.955,6maTPqynTmrkWIralgGaoP,142759
0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,0yLdNVWF3Srea0uzk55zFn,200455
0.662,0.398,-6.691,0.0275,0.716,0.0,0.111,0.468,107.001,4sx6NRwL6Ol3V6m9exwGlQ,145850
0.464,0.724,-5.019,0.0705,0.0188,0.0,0.679,0.303,82.526,0rc1HCVoReqzzXF9jssqZk,174749
0.792,0.503,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,1rrqJ9QkOBYJlsZgqqwxgB,185093
0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,2L9N0zZnd37dwF0clgxMGI,182888
0.715,0.931,-3.548,0.0426,0.00573,0.00185,0.0549,0.615,119.971,7LbhIjYNfCguxjAw43Mkff,181648
0.678,0.572,-4.99,0.129,0.2,2.83e-06,0.102,0.533,82.0,28a302Jx34OM1z5qG7ykMJ,141061
0.544,0.692,-3.207,0.155,0.296,0.0,0.131,0.618,193.954,4nfyxpiejEPrUHLnejED7i,132794
0.398,0.705,-7.07,0.0756,0.204,5.13e-05,0.443,0.635,111.487,37vVp2sWHuuIBOSl1NswP6,145668
0.698,0.895,-4.439,0.0628,0.172,1.45e-05,0.409,0.838,114.914,3i0FkJYlU4MFfYkjFHXXAM,229605
0.74,0.697,-4.912,0.034,0.0268,0.0,0.224,0.732,138.992,6dgUya35uo964z7GZXM07g,163648
0.497,0.445,-7.494,0.0737,0.742,0.0,0.0934,0.194,80.65,0UYNa7reQKIbADXr8iN28w,155591
0.475,0.243,-11.209,0.0262,0.823,0.0,0.115,0.108,61.317,6m3T4RHAMaSIKUDsxko43y,191494
0.668,0.618,-4.639,0.0607,0.125,0.0,0.112,0.389,120.951,6Szgu8v7CAapag3XuuJX0b,156632
0.584,0.915,-3.199,0.11,0.00686,0.000155,0.098,0.57,181.882,4vOoQh9MhS9pyrbvc8LyMz,196940
0.727,0.695,-6.19,0.0518,0.00839,0.0,0.11,0.811,127.995,164QjgWOxnSZYHQghRKeC0,193382
0.62,0.681,-4.915,0.356,0.0138,0.0,0.0248,0.741,160.743,1eprzC29mwUQqcVj0eILdx,162493
0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,5jQI2r1RdgtuT8S3iG8zFC,202396
0.622,0.715,-4.04,0.0323,0.000982,0.0,0.0796,0.607,131.012,2KReCz1L5XkGIBhDncQ5VZ,164682
0.517,0.891,-6.749,0.101,0.00905,0.0245,0.0654,0.363,152.007,21rYCEejlfM0LYRlfzxGeM,226077
0.469,0.568,-7.084,0.0305,0.0817,0.0,0.146,0.193,109.172,3lGPy4laQ3s4lT1pRXKmFC,177880
0.612,0.691,-10.67,0.0454,0.419,0.0242,0.145,0.632,151.029,4bYwK4mvWubnAkCextxH2d,243600
0.416,0.762,-7.385,0.0279,0.312,0.804,0.0559,0.461,95.967,1fDFHXcykq4iw8Gg7s5hG9,326491
0.746,0.705,-5.615,0.0518,0.0133,0.0,0.22,0.97,136.916,6YufjjSqUweXdQHduL76zr,166982
0.568,0.289,-8.973,0.0395,0.858,0.0,0.0943,0.338,140.122,16axxBqfSvis8mjhrLHWeH,162390
0.625,0.712,-5.996,0.0539,0.0229,0.0,0.252,0.398,163.015,3IelG5zYpWWCZIH4cqWlPV,203557
